201103	31037	ANTH	47	1	N	Alaska:American Dreams	NAS 037 01	2	201f	Carpenter Hall	Sergei Kan	CI	SOC	27	27	IP
201103	32743	ANTH	50	4	N	AnthApproach-JewishHist.&Cult.	AMES 031 01, JWST 065 01	2	103	Dartmouth Hall	Harvey Goldberg	CI	SOC	 	7	IP
201103	32744	ANTH	50	5	N	Jewish Society in North Africa	AMES 032 01, JWST 066 01	10	409	Silsby Hall	Harvey Goldberg	NW	SOC	 	3	IP
201103	32713	ANTH	55	1	N	Anthopology of Int'l Health	 	10A	 	 	Sienna Craig	 	INT or SOC	 	40	IP
201103	30475	ANTH	85	1	N	Reading Course	 	AR	 	 	Deborah Nichols	 	 	 	6	IP
201103	30476	ANTH	87	1	N	Research Course	 	AR	 	 	Deborah Nichols	 	 	 	2	IP
201103	30477	ANTH	88	1	N	Anthropology Honors	 	AR	 	 	Deborah Nichols	 	 	 	3	IP
201103	30004	ARAB	3	1	N	First Yr Courses in Arabic	 	9S	105a	Bartlett	Jamila Chahboun	 	 	 	12	IP
201103	30884	ARAB	3	2	N	First Yr Courses in Arabic	 	9S	219	Wilson Hall	El Mostafa Ouajjani	 	 	 	13	IP
201103	30885	ARAB	23	1	N	Intermediate Arabic	 	11	105	Reed Hall	Jamila Chahboun	NW	 	 	9	IP
201103	32195	ARAB	43	1	N	Advanced Arabic	 	10A	105a	Bartlett	Kamal Abu-Deeb	NW	LIT	 	3	IP
201103	31002	ARAB	59	1	N	Ind Adv Study Arab Lang&Lit	 	AR	 	 	Hussein Kadhim	NW	LIT	 	2	IP
201103	31143	ARAB	63	1	N	Society/Culture/Gender-MidEast	 	12	105	Reed Hall	Diana Abouali	NW	LIT	 	10	IP
201103	32196	ARAB	81	1	N	Edward Said & Cultural Studies	COLT 050 01	3B	105	Bartlett	Kamal Abu-Deeb	NW	LIT	 	14	IP
201103	32149	ARTH	7	1	Y	Lessons in Visual Literacy	 	2A	201f	Carpenter Hall	Marlene Heck	W	ART	16	16	IP
201103	30001	ARTH	10	90	N	Foreign Study I	 	FS	 	 	Kathleen Corrigan	 	 	 	15	IP
201103	30002	ARTH	11	90	N	Foreign Study II	 	FS	 	 	Kathleen Corrigan	W	ART	 	15	IP
201103	30003	ARTH	12	90	N	Foreign Study III	 	FS	 	 	Kathleen Corrigan	 	 	 	15	IP
201103	30617	ARTH	16	1	N	Books As Art	 	10A	109	Webster	Joy Kenseth	W	ART	 	12	IP
201103	32145	ARTH	16	2	N	The Forbidden City	 	2A	201c	Carpenter Hall	Kristina Kleutghen	 	 	 	14	IP
201103	31021	ARTH	17	1	N	Michelangelo	 	11	201c	Carpenter Hall	Joy Kenseth	W	ART	 	40	IP
201103	31025	ARTH	17	2	N	Archaeology of Israel	JWST 041 01	12	201c	Carpenter Hall	Steven Kangas	NW	ART	 	31	IP
201103	31205	ARTH	22	1	N	Late Classical/Hellenistic Art	 	10A	201f	Carpenter Hall	Steven Kangas	W	ART	 	8	IP
201103	32146	ARTH	60	1	N	The Arts of China	 	12	201f	Carpenter Hall	Kristina Kleutghen	NW	ART	 	14	IP
201103	31103	ARTH	75	1	N	20th C Art from Latin America	LACS 078 01	10	201c	Carpenter Hall	Mary Coffey	CI	ART	 	23	IP
201103	31104	ARTH	83	1	N	Advanced Seminar	 	2A	103	Carpenter Hall	Jim Jordan	 	 	 	7	IP
201103	30252	ARTH	89	1	N	Independent Study	 	AR	 	 	Adrian Randolph	 	 	 	0	IP
201103	30414	ARTH	91	1	N	Honors	 	AR	 	 	Adrian Randolph	 	 	 	1	IP
201103	31100	ASTR	1	1	N	Exploration of Solar System	 	11	104	Wilder Hall	Robert Fesen	 	SLA	165	101	IP
201103	30078	ASTR	15	1	N	Stars & The Milky Way	 	10A	115	Wilder Hall	Brian Chaboyer	 	SCI	 	16	IP
201103	30194	ASTR	81	1	N	Special Topics in Astronomy	 	AR	 	 	Miles Blencowe	 	 	 	0	IP
201103	30409	ASTR	87	1	N	Undergrad Res in Astronomy	 	AR	 	 	Miles Blencowe	 	 	 	0	IP
201103	30681	ASTR	116	1	N	Galactic Systems	 	2A	102	Wilder Hall	Gary Wegner	 	 	 	2	 
201103	30184	ASTR	122	1	N	Special Topics	 	AR	 	 	Miles Blencowe	 	 	 	0	IP
201103	30423	BIOC	103	1	N	Bioc, Cell & Molecul Biol III	 	M, W, F 8:30 AM-9:50 AM  	 	 	Surachai Supattapone	 	 	 	26	 
201103	30113	BIOC	118	1	N	Adv Topics Genetics & Mol.Gen	GENE 118 01	AR	 	 	Jay Dunlap	 	 	 	0	 
201103	32855	BIOC	150	1	N	Neurosciences I:Molecular&Cell	 	AR	 	 	Leslie Henderson	 	 	 	0	 
201103	30114	BIOC	169	1	N	Supervised Teaching:Biochem	 	AR	 	 	Charles Barlowe	 	 	 	0	 
201103	30115	BIOC	197	1	N	Grad Res in BIOC Pre-Qual I	 	AR	 	 	Charles Barlowe	 	 	 	9	 
201103	30116	BIOC	198	1	N	Grad Res in BIOC Pre-Qual II	 	AR	 	 	Charles Barlowe	 	 	 	8	 
201103	30117	BIOC	199	1	N	Grad Res in BIOC Pre-Qual III	 	AR	 	 	Charles Barlowe	 	 	 	0	 
201103	30640	BIOC	259	1	N	Grad Resear Colloquium in Bioc	 	AR	 	 	Henry Higgs	 	 	 	8	 
201103	30641	BIOC	260	1	N	Structural Biology	 	AR	 	 	Dean Madden	 	 	 	0	IP
201103	30397	BIOC	261	1	N	Cancer Biology	 	AR	 	 	Mark Israel, Michael Cole	 	 	 	13	 
201103	32408	BIOC	262	1	N	Lipid Biol & Neuro Degeneratn	 	AR	 	 	Ta Yuan Chang	 	 	 	5	 
